tid,rid,words,meaning,clarity,consistency,correlation,npmi,npmi_diff,npmi_normalized,#words,#articles,FreqRefinements,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,Duration,userID
3,6,The Neediest Cases corrections neediest cases children correction misstated fund family city society,Some articles are about corrections to previous articles. Other articles are about needy people or families in the city.,5,5,5,0.01,0.01,0.01818181818181818,13,40,21,2,11,0,0,0,8,217,6OLOM86L
3,7,"article brooklyn New York City[york, city] times children fund neediest family cases east year service bronx society apartment",Cases of poor families in New York.,4,4,5,-0.0,0.0,-0.0,19,39,7,0,4,1,1,0,1,102,RNV3C50J
3,8,"New York[york, bronx, brooklyn] article times street corrections children fund neediest family cases year society apartment",The articles are about poverty in New York. ,5,5,5,-0.0,0.0,-0.0,17,30,19,0,5,10,3,0,1,151,3Q4HD829
4,original,company executive business chief group million board president executives firm york office part companies director deal employees advertising chairman management marketing media vice pay home private corporate yesterday news agency public sales shareholders campaign senior depot corporation partners ads,,4.1111111111111107,3.6666666666666665,4.1111111111111107,0.1,0,0.1,20,40,0
4,0,"company business group board president leadership[chief, executive, management, executives] firm part companies director deal chairman",The theme is about leaders of various corporations.,4,4,4,0.11,0.009999999999999995,0.1375,16,36,11,0,5,4,1,0,1,132,YQBTVRYR
4,1,"company business management[executive, chief, president, executives, management] board of directors[board[board, chairman, director],board, chairman, director] money[million, deal] group firm office employees advertising",They are business announcements,5,5,5,0.08,-0.020000000000000004,0.08,26,39,12,0,3,1,4,0,4,388,GNZ5T0UE
4,2,business company companies group million firm office director deal employees advertising,Articles about business,4,4,4,0.08,-0.020000000000000004,0.14545454545454545,11,38,19,0,2,6,0,7,4,172,911B0Q0C
4,3,management executives chief group board president director deal employees advertising chairman executive,The theme words and news articles are about companies,4,4,4,0.11,0.009999999999999995,0.18333333333333335,12,40,11,0,4,0,0,5,2,144,C9A3ZNG5
4,4,company executive business New York chief group board president executives companies director deal employees advertising management,Business executives and management,4,4,4,0.1,0.0,0.125,16,28,22,1,6,14,0,0,1,164,JW00TQV4
4,5,company companies business management chairman executive chief group board president director employees office advertising,"The theme is business, it deals with things related to business. ",5,5,5,0.11,0.009999999999999995,0.15714285714285714,14,26,40,3,8,14,1,3,11,504,OYRSMH35
4,6,"company boss[executive, chief, president, chairman, director] business group million board executives firm office deal employees advertising management",business and organization information,5,4,5,0.07,-0.03,0.07777777777777779,18,40,6,0,3,0,2,0,1,179,KL7BG5QY
4,7,"company business group million firm york office part companies deal advertising Associates[employees, chairman, management, executive, chief, board, president, executives, director]",The world of business,5,5,5,0.08,-0.020000000000000004,0.07619047619047618,21,34,7,0,0,6,1,0,0,76,SZUZJ6F0
4,8,"management[executive, chief, president, executives, director, chairman, management] company lawsuit financial business group million board firm york office part companies deal employees advertising",Financial and market information for certain businesses.,5,5,5,0.1,0.0,0.09090909090909091,23,38,12,3,1,2,1,0,5,281,VVAF6X5G
5,original,food restaurant wine restaurants chicken chef menu bar sauce meat dinner good fish dining street cream minutes cheese wines chocolate heat room fresh add place dishes cooking oil pork large kitchen cup eat salt sweet pan hot small french,,3.8888888888888888,3.8888888888888888,4.0,0.23,0,0.23,20,40,0
5,0,food menu chicken wine chef bar sauce meat dinner good fish street cream wines cheese chocolate,Recipes cooking and the joy of it ,3,4,2,0.14,-0.09,0.17500000000000002,16,37,15,0,2,7,0,2,4,173,9S0WB9E7
5,1,food restaurant good chicken cheese menu dish chocolate cream delicious chef,I think they're mostly about food and cooking.,4,4,4,0.2,-0.03,0.36363636363636365,11,40,27,6,15,0,0,0,6,267,SHHV2EIX
5,2,"food restaurant flavor[lemon, chocolate, cream, cheese] meat[fish, meat[chicken, pork],chicken, pork] wine menu bar sauce dinner dining street",This theme appears to focus on culinary dishes; more particularly flavors that enhance the taste of dishes.,4,4,4,0.19,-0.04000000000000001,0.2111111111111111,21,40,19,5,7,0,4,0,3,277,DZP6GUAO
5,3,food dinner restaurant restaurants dining bar chef menu wines wine chicken meat fish sauce street cream cheese chocolate,food reviews about restaurants & chefs plus recipes for home.,5,4,4,0.17,-0.06,0.1888888888888889,18,40,11,0,2,0,0,0,9,159,92K0RMCX
5,4,food restaurant wine restaurants chicken chef menu bar sauce meat dinner fish dining street cream cheese chocolate,These articles are all related to food or dining,5,5,5,0.18,-0.05000000000000002,0.21176470588235294,17,40,3,0,3,0,0,0,0,199,K2Y0DD7M
5,5,"restaurants[restaurant, restaurants] food menu dinner Drinking[wine, bar[wine, wines],wine, wines] good chicken chef sauce meat cream cheese fish chocolate dining",They're mostly about fine dining.,5,4,5,0.15,-0.08000000000000002,0.15789473684210525,23,40,16,0,2,0,3,3,8,179,WZD61DJI
5,6,"restaurant food wine chef menu bar dinner good dining street wines ingredients[cream, cheese, meat, sauce, fish, chicken, chocolate]",Restaurant reviews and also recipe ideas.,4,4,5,0.15,-0.08000000000000002,0.15789473684210525,19,27,26,0,1,21,1,2,1,521,TKD9XO2E
5,7,food restaurant wine restaurants chicken chef menu bar sauce dinner fish dining,This them concerns food-related topics. ,4,4,4,0.22,-0.010000000000000009,0.3666666666666667,12,40,8,0,8,0,0,0,0,78,J6BMHIN8
5,8,food restaurant restaurants wine chicken chef menu bar sauce meat dinner good fish dining street cream minutes cheese wines chocolate recipe ethnic food,articles on food and recipe.,4,4,4,0.18,-0.05000000000000002,0.16363636363636364,23,39,4,2,0,1,0,0,1,135,0OW54C8Y
6,original,police court case law judge justice lawyer federal lawyers yesterday state trial department investigation death legal attorney charges officials wilson prosecutors prison man criminal libby jury officers charged cases told evidence crime officer supreme district defense states years office,,4.0,4.0,4.2222222222222223,0.15,0,0.15,20,40,0
6,0,"court case charges police law judge attorney pleaded[pleaded, plead, plea] justice lawyer[lawyer, lawyers] investigation sentence accused guilty trial death legal officials evidence testified defendant prosecutor jury[jurors, jury] testimony[testify, testimony] bail",Legal cases of high profile crimes,5,5,5,0.13,-0.01999999999999999,0.08666666666666667,34,37,50,21,10,3,4,0,12,467,ZEHBMJBZ
6,1,police court case justice federal lawyers state trial department investigation death charges wilson sentenced death penalty civil criminal jury,These articles all relate to criminal justice.,4,4,4,0.13,-0.01999999999999999,0.14444444444444446,19,40,12,5,7,0,0,0,0,142,GJZQ0KPW
6,2,"police[department, police] investigation death charges officials court[court, case, law, judge, justice, lawyer, federal, lawyers, state, trial, attorney, legal]",reports of criminal activity,5,5,5,0.15,0.0,0.16666666666666666,20,39,8,0,2,1,3,0,2,170,9BOHW5XN
6,3,"law police case justice federal state department investigation death legal charges Courtroom[attorney, trial, lawyers, judge, lawyer, court]",This theme focuses on the law and criminal justice.,5,5,5,0.16,0.010000000000000009,0.17777777777777778,18,40,6,0,3,0,1,0,2,101,HT087ID6
6,4,police court case law judge justice lawyer federal lawyers yesterday state trial investigation death legal attorney charges officials wilson civilian black,it was about shooting involving police officers. there was at least one article when a police office was shot and several where civilians were fatally shot by the police and the cases were in court,3,4,4,0.11,-0.039999999999999994,0.10476190476190475,21,40,3,2,1,0,0,0,0,142,WQL0XZ7V
6,5,"department judge court law justice investigation trial case federal lawyers state death legal charges officials police legal representatives[lawyer, attorney]",Government,5,5,5,0.13,-0.01999999999999999,0.1368421052631579,20,40,13,0,2,0,1,0,10,138,Z233E1L1
6,6,law court police case judge justice lawyer federal state trial department investigation death legal attorney charges officials illegal criminal,The theme is Federal Court System.,4,4,5,0.15,0.0,0.15789473684210525,19,40,9,3,4,0,0,0,2,111,NQ19NJ04
6,7,"case litigators[lawyers, attorney] charges police court law judge justice trial investigation death legal officials victim shooting",Modern law in urban areas,4,4,5,0.16,0.010000000000000009,0.18823529411764706,17,39,14,2,6,1,1,0,4,273,O6XL8NRI
6,8,"police law justice federal yesterday state department investigation death legal charges officials Courtroom[court, case, judge, trial] Lawyer[lawyer, lawyers, attorney] convicted",Theme is about justice,5,5,5,0.17,0.020000000000000018,0.1619047619047619,22,39,6,1,1,1,3,0,0,182,A2X70YM3
7,original,city york street state island mayor town jersey building park local long county center residents people community development officials project manhattan department authority million housing area brooklyn public avenue district neighborhood downtown yesterday site council buildings projects years land,,4.2222222222222223,4.2222222222222223,4.0,0.02,0,0.02,20,40,0
7,0,holiday office closings city service Martin Luther King Birthday city york state island town jersey building park local long county center residents people community officials,Martin Luther King's Birthday,4,4,4,0.04,0.02,0.03333333333333333,25,7,51,4,4,39,0,0,4,499,OUF0TYWB
7,1,city york jersey transportation transit development officials street state island park building county community government local project mayor,Municipal news and events for New York and New Jersey.,5,5,5,0.06,0.039999999999999994,0.06666666666666667,18,39,45,7,6,3,0,3,26,595,6FZ6SUI3
7,2,city york project development building community mayor officials street state town island park local county center residents,The theme words have to due with New York City and community news.,4,5,5,0.06,0.039999999999999994,0.07058823529411765,17,31,19,0,3,9,0,0,7,110,L7TSKSFA
7,3,"york city state street island jersey building park local long development officials project offices genre[train, transportation]",new york cities,5,5,5,0.04,0.02,0.047058823529411764,17,32,29,3,4,14,1,5,2,374,KV3J4I3O
7,4,"development[development, project] local[county, local] community Long Island[long, island] jersey officials[officials, mayor] landmarks[landmarks, center[street, park, building],street, park, building] town",Community events and happenings.,5,4,5,0.04,0.02,0.05,25,40,18,0,5,0,6,2,5,486,4VWEPI53
7,5,city york street state island local development mayor town jersey building park long county holiday center project property people community residents officials,The articles are about New York's community development projects during specific events.,4,4,4,0.06,0.039999999999999994,0.05454545454545454,22,39,16,5,1,1,2,0,7,305,P4SSXSY8
7,6,Local News Holidays Corrections community development people mayor town building park local county residents officials project,"The themes seem to be about holidays, corrections, and city news that affects the community.",4,3,4,0.03,0.009999999999999998,0.039999999999999994,16,40,18,3,8,0,0,0,7,106,6OLOM86L
7,7,"city york street state island mayor town jersey building development park long county center citizens[people, residents] community officials project",The theme is about New York and New Jersey and the residential communities within them.,4,4,5,0.05,0.030000000000000002,0.05,20,39,5,0,1,1,1,0,2,207,RNV3C50J
7,8,"New York City[city, york, local, community] street state island mayor jersey building park long county center Residents[residents, people] development officials project",News about New York City and events happening in the town. ,4,5,4,0.04,0.02,0.04,23,37,8,0,1,3,2,0,2,70,3Q4HD829
8,original,energy oil car gas cars ford power company ch fuel vez toyota production ethanol emissions plants plant companies environmental prices carbon industry electricity auto climate american global detroit venezuela year coal natural states corn gasoline design solar price market,,3.7777777777777777,3.3333333333333335,3.8888888888888888,0.08,0,0.08,20,40,0
8,0,"cars energy oil gas ford power fuel production ethanol emissions plants plant companies environmental car company[car, company] technology toyota BMW Ford Audi Jeep Honda Accord Chrysler alternative fuel auto industry",Modern gas-powered vehicles and the auto technology of specific companies seems like the theme here.,5,4,5,0.06,-0.020000000000000004,0.04444444444444444,30,39,20,10,3,3,1,0,3,327,OQJNISI1
8,1,"energy oil car cars power production emissions plants plant company companies environmental prices manufacturer[ford, toyota] fuel[gas, ethanol]","Cars, energy and the environment",5,5,5,0.12,0.039999999999999994,0.1263157894736842,19,39,14,2,3,1,3,0,5,192,MZYGHNN2
8,2,"new sports car cars company fuel production plants companies prices genre[ford, toyota]",car themed items,5,5,5,0.08,0.0,0.12307692307692308,13,32,31,2,2,14,1,8,4,342,4D9YF9YX
8,3,"energy oil car gas cars ford power company fuel toyota production ethanol emissions companies environmental prices plants[plants, plant]",They're about transportation and fuel,5,4,5,0.07,-0.009999999999999995,0.07777777777777779,19,37,6,0,2,3,1,0,0,117,3IB47R2V
8,4,"cars green friendly[environmental, green ] non green energy oil car gas power fuel production ethanol emissions plants plant prices",Cars and Hybrids,5,5,5,0.11,0.03,0.12941176470588237,19,39,14,2,4,1,1,2,4,242,KIEUEHMN
8,5,"car brand[ford, toyota] company fuel production ethanol emissions plant mileage efficiency","The theme has 2 components, the automotive industry and energy in general",4,4,5,0.07,-0.009999999999999995,0.11666666666666668,12,32,23,2,5,8,1,6,1,602,2FI4Q7O2
8,6,energy oil fuel gas ethanol emissions car cars production toyota ford power companies environmental prices,the theme and articles are about cars and energy sources,4,4,4,0.07,-0.009999999999999995,0.09333333333333334,15,40,14,0,5,0,0,0,9,128,MHNDJB2K
8,7,"Brands[ford, toyota, companies, production] cars energy oil car gas power fuel ethanol emissions plants plant environmental prices",They are about cars and what they run off of. ,5,5,5,0.09,0.009999999999999995,0.1,18,39,7,0,3,1,1,0,2,166,GSTGXR2U
8,8,"energy oil gas company fuel production ethanol emissions plants plant environmental manufacturers[ford, toyota]",The theme and articles are about oil and natural energy and the automobile industry's role it plays.,5,4,5,0.09,0.009999999999999995,0.12857142857142856,14,18,30,0,3,22,1,4,0,546,BSPYH69J
9,original,bush iraq president war american administration iran united white troops states military house plan congress officials security nuclear policy secretary national strategy washington ford program intelligence general foreign increase political cheney troop america americans speech nation defense weapons government,,4.1111111111111107,4.0,4.1111111111111107,0.03,0,0.03,20,40,0
9,0,"bush president administration american united white states house congress officials security nuclear policy secretary  military [war, military, troops] correction","The articles are about different things happening in the government, including things with the president and the military.",5,5,5,0.01,-0.019999999999999997,0.011111111111111112,19,38,9,1,1,2,1,2,2,200,PHY1C15L
9,1,"bush iraq war president administration iran united white states plan congress officials security nuclear policy soldiers[military, troops]",US president and war,5,5,5,0.04,0.010000000000000002,0.044444444444444446,18,35,11,0,3,5,1,0,2,199,UVT61M1A
9,2,"bush iraq iran war USA[american, states, united] president administration troops military congress security nuclear policy",The theme is American President George Bush and the war in Iraq.,5,4,4,0.03,0.0,0.0375,15,40,11,0,7,0,1,0,3,126,JYY8DO5Y
9,3,bush politics government iraq president war american administration iran united troops states military house plan congress officials security nuclear policy,Political decision making regarding the war in Iraq,5,5,5,0.02,-0.009999999999999998,0.02,20,32,14,2,2,8,0,0,2,75,L9LAKEAH
9,4,american iraq war administration iran united white troops states military congress officials security nuclear policy secretary president,The things Bush did during his presidency.,4,4,5,0.03,0.0,0.03529411764705882,17,34,12,1,2,6,0,2,1,126,THCZJP5X
9,5,"bush iraq president war american administration iran united states house plan congress officials security policy secretary attack[nuclear, troops, military]",American President George Bush deciding how to handle the Iraq conflict,4,4,4,0.01,-0.019999999999999997,0.01,20,40,4,1,2,0,1,0,0,120,1TW8NN21
9,6,"bush president iraq strategy iran war american united states congress security nuclear secretary armed forces[troops, military]",They are about Bush's plans  and stances on Iraq and Iran.,5,5,5,0.02,-0.009999999999999998,0.023529411764705882,17,37,14,1,4,3,1,2,3,215,DUGV417A
9,7,"iran iraq war american administration united white troops states military house plan officials security policy government[congress, secretary] elected officials","government, politics, and elected officials.",3,4,4,0.03,0.0,0.03157894736842105,20,37,9,1,1,3,1,2,1,121,X8SMP913
9,8,"war iraq iran american military troops plan officials security nuclear policy Location[White, House] American President[president, bush] United Nations[United, Nations]",The theme is regarding the Iraq/Iran and American War and the American President.,5,4,4,0.0,-0.03,0.0,22,32,26,4,7,8,3,0,4,523,N14RSUIB
10,original,years time year people make made long called back work part recent put change end added ago including major making set good early day move week number month days left past important give recently taking began place high point,,2.2222222222222223,2.2222222222222223,2.4444444444444446,0.0,0,0.0,20,40,0
10,0,"time years people long back work part recent making process[make, made] decade added called",Time and people,4,4,4,-0.0,-0.0,-0.0,15,39,12,1,3,1,2,4,1,211,QKFQEO70
10,1,change made long back work part end making decision,Things that happen this time of year done by people,3,3,3,0.02,0.02,0.044444444444444446,9,35,19,1,12,5,0,0,1,129,MEQMEGLO
10,2,people recent change church F.A.A.,"These are about national news
",2,2,3,-0.02,-0.02,-0.06666666666666667,4,40,23,4,19,0,0,0,0,184,KBWJJB49
10,3,"change[making, made, make, change, added] time[back, time[time, end[years, year, time, ago],years, year, time, ago],time, end[years, year, time, ago],years, year, time, ago]",Change over time.,4,4,4,0.03,0.03,0.05454545454545454,29,40,17,0,8,0,5,0,4,282,87PF76D0
10,4,"change people make made called back work part recent time[years, time, year, long, ago, end] political parties[republican, democrat] environment[climate, global] F.A.A. business presidential earth politicians[obama, clinton] campaign church companies",The articles seem to be describing various political topics.,3,2,3,-0.0,-0.0,-0.0,32,26,52,21,12,14,4,0,1,697,GC5HKPA8
10,5,Election president politics candidates people long recent change global warming,The articles are about political concerns.,4,4,4,0.04,0.04,0.08,10,19,52,6,16,23,0,2,5,671,DRT8AM50
10,6,time year people work part recent change end major,What is happening around the nation.,5,4,4,0.01,0.01,0.022222222222222223,9,32,19,0,11,8,0,0,0,168,O6WJYG10
10,7,Politics people recent government campaign President race 2008 Romney Obama,"politics, world news, local news",4,4,4,0.01,0.01,0.022222222222222223,9,8,63,8,18,36,0,0,1,597,9N8V50P1
10,8,news politics science people work,"us world news political
",5,4,5,0.03,0.03,0.12,5,32,32,3,18,8,0,0,3,127,DYMCA3LM
11,original,state health tax percent pay money million year federal care government system insurance workers plan budget cost officials law people program increase public policy states companies billion union administration years costs spending private income benefits bill taxes congress cuts,,4.0,4.1111111111111107,4.2222222222222223,0.11,0,0.11,20,40,0
11,0,health tax state percent pay money year federal care government system insurance workers plan budget cost officials law people property,Health and taxes,5,5,5,0.1,-0.009999999999999995,0.1,20,33,11,1,1,7,0,0,2,102,SNAB9B4T
11,1,health insurance health care workers government state plan budget percent system pay money federal cost officials law people tax,Health Care and government,5,5,5,0.09,-0.020000000000000004,0.1,19,25,34,4,5,15,1,0,9,408,B8W6KR68
11,2,health insurance government federal state cost pay workers plan President care system country drug tax policy uninsured,"This theme is about state and goverment taxes and health care
",5,5,5,0.11,0.0,0.12941176470588237,17,32,42,10,4,14,0,8,6,601,QAMW4L9I
11,3,"government state federal system insurance tax workers plan people million healthcare[health, care] cost[budget, money]",things to do with the government,4,4,4,0.1,-0.009999999999999995,0.125,16,40,22,1,7,0,3,0,11,598,YV5HNNU4
11,4,state health tax pay money year federal care government insurance budget officials law,They seem to be about the government.,4,4,4,0.13,0.020000000000000004,0.2,13,40,7,0,7,0,0,0,0,174,OHVVSQRB
11,5,"tax percent Healthcare[health, care, insurance] budget pay state money million year federal government system workers plan cost officials law people",taxes and healthcare,4,4,4,0.14,0.030000000000000013,0.13333333333333333,21,37,10,0,0,5,1,1,3,278,EKU02HLJ
11,6,"state health tax percent million year federal care government system insurance plan officials law people[workers, people] finance[budget, cost, money, pay]",They seem to be about state budgets and other financial issues.,5,4,5,0.14,0.030000000000000013,0.13333333333333333,22,38,6,0,0,2,2,0,2,203,1W4XOSZH
11,7,state health tax percent pay money year federal care government system insurance workers plan officials law people,Theme is about employment deductibles,4,4,4,0.09,-0.020000000000000004,0.10588235294117647,17,38,5,0,3,2,0,0,0,117,SYV4OTLW
11,8,"Health Care[Health Care, care[health, insurance, plan],health, insurance, plan] tax[tax, taxes]",Taxes and politics.,4,4,4,0.21,0.09999999999999999,0.7,14,40,22,1,15,0,3,0,3,165,CT213KI2
